Heap Sort
1.292e-08
2.173e-08
3.144e-08
4.114e-08
5.096e-08
8.155e-08
7.24e-08
8.118e-08
9.177e-08
1.0142e-07
1.1154e-07
1.2211e-07
1.3164e-07
1.4245e-07
1.5196e-07
1.6794e-07
1.7125e-07
1.8163e-07
1.9155e-07
2.5219e-07
3.2913e-07
2.2723e-07
2.3429e-07
2.5064e-07
3.7718e-07
2.3565e-07
2.4181e-07
2.52e-07
2.6144e-07
2.7093e-07
2.7907e-07
2.8871e-07
2.99e-07
3.0732e-07
3.1559e-07
3.2578e-07
3.3543e-07
3.4388e-07
3.5313e-07
3.6385e-07
3.7281e-07
3.834e-07
3.9289e-07
4.0137e-07
4.114e-07
4.2079e-07
4.2993e-07
4.3876e-07
4.4763e-07
4.6518e-07
4.7109e-07
4.79e-07
4.8543e-07
6.2395e-07
1.02906e-06
5.1758e-07
5.2464e-07
5.3182e-07
5.4038e-07
5.5155e-07
5.6069e-07
5.7005e-07
5.7938e-07
5.8842e-07
5.9792e-07
6.0678e-07
6.1556e-07
6.2574e-07
6.3662e-07
6.4603e-07
6.6249e-07
6.3282e-07
9.4688e-07
9.747e-07
6.6412e-07
6.6921e-07
6.7771e-07
6.8651e-07
6.9318e-07
7.0241e-07
7.0985e-07
7.1921e-07
7.288e-07
7.3959e-07
7.492e-07
7.5819e-07
7.6768e-07
7.7841e-07
7.8851e-07
8.0303e-07
1.27843e-06
8.1662e-07
8.2556e-07
8.3257e-07
8.4078e-07
8.4961e-07
8.6042e-07
8.6903e-07
8.7933e-07
8.9551e-07
